genename	bnum	geneid	isNonUnique
yfeX	b2431	gene2490	FALSE
yfeY	b2432	gene2491	FALSE
creB	b4398	gene4491	FALSE
abgT	b1336	gene1365	FALSE
yhbY	b3180	gene3240	FALSE
nikE	b3480	gene3540	FALSE
cohE	b1145	gene1158	FALSE
ymiA	b4522	gene1299	FALSE
fbaB	b2097	gene2151	FALSE
fbaA	b2925	gene2989	FALSE
ymiB	b4672	gene1312	FALSE
yjiX	b4353	gene4444	FALSE
yjdM	b4108	gene4192	FALSE
rssA	b1234	gene1257	FALSE
rssB	b1235	gene1258	FALSE
ddlA	b0381	gene387	FALSE
ddlB	b0092	gene91	FALSE
ybcV	b0558	gene567	FALSE
creD	b4400	gene4493	FALSE
wcaM	b2043	gene2094	FALSE
wcaL	b2044	gene2095	FALSE
mmuM	b0261	gene265	FALSE
yjiR	b4340	gene4431	FALSE
glgS	b3049	gene3106	FALSE
mmuP	b0260	gene264	FALSE
yjiS	b4341	gene4432	FALSE
insD1	b0361	gene370	TRUE
holE	b1842	gene1889	FALSE
yaiS	b0364	gene372	FALSE
holC	b4259	gene4346	FALSE
holB	b1099	gene1113	FALSE
holA	b0640	gene654	FALSE
wcaH	b2051	gene2102	FALSE
satP	b0010	gene9	FALSE
mnmG	b3741	gene3823	FALSE
mnmE	b3706	gene3788	FALSE
wcaK	b2045	gene2096	FALSE
gatZ	b2095	gene2149	FALSE
mnmA	b1133	gene1147	FALSE
yjiV	b4486	gene4434	FALSE
wcaJ	b2047	gene2098	FALSE
yidA	b3697	gene3778	FALSE
mnmH	b0503	gene509	FALSE
wcaE	b2055	gene2106	FALSE
yrfG	b3399	gene3460	FALSE
yjiT	b4342	gene4433	FALSE
gatD	b2091	gene2145	FALSE
argI	b4254	gene4341	FALSE
gatA	b2094	gene2148	FALSE
gatB	b2093	gene2147	FALSE
gatC	b2092	gene2146	FALSE
ygfZ	b2898	gene2960	FALSE
ygiB	b3037	gene3094	FALSE
ytjC	b4395	gene4488	FALSE
ytjB	b4387	gene4480	FALSE
ygiF	b3054	gene3115	FALSE
ygiD	b3039	gene3096	FALSE
yidF	b3674	gene3756	FALSE
ygiN	b3029	gene3087	FALSE
ygiM	b3055	gene3116	FALSE
eno	b2779	gene2839	FALSE
ygiS	b3020	gene3078	FALSE
ygiQ	b4469	gene3074	FALSE
argK	b2918	gene2982	FALSE
aaaE	b4693	gene1163	FALSE
aaaD	b4634	gene571	FALSE
ygiZ	b3027	gene3085	FALSE
smtA	b0921	gene935	FALSE
